Date,Open,High,Low,Close,Adj Close,Volume
1986-09-01,0.000000,0.300781,0.222656,0.269531,0.253072,22393600
1986-10-01,0.000000,0.375000,0.269531,0.365234,0.342931,26118400
1986-11-01,0.000000,0.390625,0.339844,0.382813,0.359437,18368000
1986-12-01,0.000000,0.421875,0.363281,0.398438,0.374107,46156800
1987-01-01,0.000000,0.578125,0.406250,0.531250,0.498809,62105600
1987-02-01,0.000000,0.730469,0.539063,0.710938,0.667525,71571200
1987-03-01,0.000000,1.109375,0.699219,1.078125,1.012289,176380800
1987-04-01,1.078125,1.562500,1.000000,1.515625,1.423074,114217600
1987-05-01,1.515625,1.750000,1.421875,1.500000,1.408403,58790400
1987-06-01,1.500000,1.539063,0.875000,1.085938,1.019625,169865600
1987-07-01,1.085938,1.156250,0.937500,1.031250,0.968277,78195200
1987-08-01,1.031250,1.226563,0.937500,1.007813,0.946271,80700800
1987-09-01,1.007813,1.242188,0.992188,1.203125,1.129657,68310400
1987-10-01,1.203125,1.421875,0.406250,0.703125,0.660189,128131200
1987-11-01,0.703125,0.859375,0.640625,0.757813,0.711537,66668800
1987-12-01,0.757813,0.953125,0.718750,0.921875,0.865581,59043200
1988-01-01,0.921875,0.984375,0.742188,0.828125,0.777556,97209600
1988-02-01,0.828125,0.960938,0.734375,0.906250,0.850910,81411200
1988-03-01,0.921875,1.062500,0.906250,0.968750,0.909594,90256000
1988-04-01,0.929688,1.140625,0.921875,1.093750,1.026960,58073600
1988-05-01,1.109375,1.156250,0.968750,1.101563,1.034296,65619200
1988-06-01,1.125000,1.257813,1.101563,1.257813,1.181005,63232000
1988-07-01,1.250000,1.421875,1.242188,1.296875,1.217682,47408000
1988-08-01,1.304688,1.328125,1.085938,1.218750,1.144327,75910400
1988-09-01,1.187500,1.398438,1.148438,1.359375,1.276365,62985600
1988-10-01,1.343750,1.546875,1.328125,1.339844,1.258027,126787200
1988-11-01,1.359375,1.421875,1.296875,1.390625,1.305707,61270400
1988-12-01,1.437500,1.593750,1.312500,1.531250,1.437744,65182400
1989-01-01,1.562500,1.625000,1.359375,1.445313,1.357055,91731200
1989-02-01,1.453125,1.578125,1.218750,1.265625,1.188340,198883200
