Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.000000,2.416667,1.472222,2.333333,2.017537,3025800
1985-02-01,0.000000,2.694444,2.222222,2.361111,2.041554,3595050
1985-03-01,0.000000,2.666667,2.194444,2.222222,1.921463,5005350
1985-04-01,0.000000,2.333333,2.083333,2.111111,1.825390,1538100
1985-05-01,0.000000,2.361111,2.027778,2.166667,1.873428,3084300
1985-06-01,0.000000,2.222222,1.861111,2.111111,1.825390,1387350
1985-07-01,0.000000,2.194444,1.916667,2.194444,1.897445,3042450
1985-08-01,0.000000,2.388889,1.944444,2.083333,1.801371,3828600
1985-09-01,0.000000,2.111111,1.555556,1.750000,1.513153,3674250
1985-10-01,0.000000,1.972222,1.444444,1.888889,1.633244,4367700
1985-11-01,0.000000,2.027778,1.722222,1.972222,1.705299,1917900
1985-12-01,0.000000,2.333333,1.916667,2.250000,1.945482,2463300
1986-01-01,0.000000,2.333333,2.027778,2.194444,1.897445,2682000
1986-02-01,0.000000,2.750000,2.194444,2.638889,2.281738,3055500
1986-03-01,0.000000,2.694444,2.138889,2.305556,1.993519,2920050
1986-04-01,0.000000,2.833333,2.277778,2.750000,2.377812,4260600
1986-05-01,0.000000,3.055556,2.666667,2.861111,2.473885,5867100
1986-06-01,0.000000,2.888889,1.805556,1.916667,1.657263,5992200
1986-07-01,0.000000,1.944444,1.444444,1.555556,1.345025,1744200
1986-08-01,0.000000,1.833333,1.500000,1.777778,1.537171,3222450
1986-09-01,0.000000,1.777778,0.833333,1.166667,1.008768,3882600
1986-10-01,0.000000,1.333333,1.055556,1.138889,0.984751,2225250
1986-11-01,0.000000,1.194444,1.055556,1.138889,0.984751,2072250
1986-12-01,0.000000,1.138889,0.972222,1.000000,0.864659,2343600
1987-01-01,0.000000,1.583333,0.972222,1.444444,1.248951,4522950
1987-02-01,0.000000,1.666667,1.333333,1.666667,1.441098,10950300
1987-03-01,0.000000,1.750000,1.555556,1.666667,1.441098,5701050
1987-04-01,0.000000,2.027778,1.555556,1.944444,1.681280,4643100
1987-05-01,0.000000,2.166667,1.833333,1.861111,1.609225,5890950
