Date,Open,High,Low,Close,Adj Close,Volume
2011-12-01,15.770000,18.889999,15.750000,17.160000,14.784414,11914900
2012-01-01,17.450001,21.070000,17.350000,20.750000,17.877432,6590000
2012-02-01,20.740000,25.070000,20.709999,24.930000,21.478758,7997200
2012-03-01,24.920000,29.190001,24.820000,28.510000,24.563152,10212800
2012-04-01,28.459999,29.650000,27.240000,29.530001,25.441944,6833600
2012-05-01,29.709999,33.639999,27.629999,28.299999,24.382229,10835500
2012-06-01,27.990000,31.219999,26.020000,30.980000,26.691208,9160100
2012-07-01,30.870001,32.410000,28.010000,31.020000,26.725674,4552300
2012-08-01,31.180000,32.900002,30.200001,32.119999,27.673395,4327100
2012-09-01,32.029999,36.720001,31.350000,36.020000,31.033482,4373100
2012-10-01,36.160000,41.730000,36.020000,39.340000,33.893879,5159500
2012-11-01,39.310001,41.000000,37.290001,39.810001,34.298805,3929700
2012-12-01,39.840000,42.160000,38.180000,41.669998,35.901314,5189400
2013-01-01,42.000000,45.439999,42.000000,44.380001,38.236149,4978200
2013-02-01,44.689999,47.330002,38.299999,41.259998,35.548069,8428800
2013-03-01,40.939999,43.599998,40.730000,42.910000,36.969669,5937200
2013-04-01,42.889999,47.209999,41.250000,45.480000,39.183880,4649900
2013-05-01,45.189999,46.419998,42.369999,44.250000,38.124149,4357600
2013-06-01,44.290001,45.290001,40.430000,43.240002,37.253979,4426100
2013-07-01,43.500000,47.919998,43.070000,44.000000,37.908760,4511100
2013-08-01,44.299999,46.419998,42.270000,43.599998,37.564140,3970600
2013-09-01,44.040001,44.820000,43.160000,44.000000,37.908760,3807100
2013-10-01,44.130001,51.299999,43.540001,50.080002,43.147060,7786600
2013-11-01,49.990002,52.599998,49.480000,52.240002,45.008041,2413800
2013-12-01,52.580002,53.709999,49.720001,52.759998,45.456039,3606500
2014-01-01,52.450001,52.860001,47.470001,47.880001,41.251621,4071000
2014-02-01,47.860001,52.500000,46.630001,52.439999,45.180344,3568900
2014-03-01,51.619999,56.200001,51.610001,55.910000,48.169975,4691300
2014-04-01,56.099998,58.139999,50.610001,54.480000,46.937927,4046500
2014-05-01,54.369999,57.869999,53.919998,56.650002,48.807529,3765600
2014-06-01,56.869999,58.939999,55.009998,58.630001,50.513420,5143600
2014-07-01,58.869999,59.849998,55.279999,57.549999,49.582924,3451000
2014-08-01,57.599998,60.820000,55.770000,59.590000,51.340511,4770800
2014-09-01,59.660000,64.050003,59.500000,63.410000,54.631687,4324700
2014-10-01,63.110001,70.830002,57.480000,69.440002,59.826923,5708100
2014-11-01,69.290001,74.500000,67.839996,73.510002,63.573090,2576600
2014-12-01,73.180000,76.290001,69.629997,74.540001,64.463844,3986600
2015-01-01,74.919998,79.070000,70.000000,76.500000,66.158890,4319800
2015-02-01,76.550003,77.980003,73.449997,76.059998,65.778389,2722100
2015-03-01,76.089996,83.849998,75.790001,81.050003,70.320091,3893800
2015-04-01,81.050003,84.070000,77.699997,82.209999,71.326530,3426800
2015-05-01,82.839996,89.849998,82.559998,88.279999,76.592949,3235100
2015-06-01,88.580002,92.260002,86.059998,91.750000,79.603569,5172700
2015-07-01,92.570000,93.400002,81.379997,83.599998,72.735977,5123100
2015-08-01,83.879997,84.989998,65.699997,71.010002,61.782078,4924500
2015-09-01,69.620003,74.099998,65.349998,68.139999,59.285046,4093400
2015-10-01,68.070000,74.629997,60.279999,64.400002,56.230328,9190900
2015-11-01,64.379997,65.080002,57.189999,60.830002,53.113216,5286000
2015-12-01,61.009998,61.990002,55.270000,56.950001,49.725418,5231200
2016-01-01,56.950001,56.950001,45.950001,49.389999,43.342010,4646900
2016-02-01,49.070000,63.930000,46.119999,60.549999,53.135437,5526300
2016-03-01,61.299999,70.290001,58.580002,67.500000,59.559780,7314500
2016-04-01,66.860001,69.970001,60.520000,62.639999,55.271473,7183800
2016-05-01,62.959999,63.070000,56.330002,60.599998,53.471455,4644500
2016-06-01,60.279999,69.220001,58.700001,68.489998,60.746399,7372400
2016-07-01,68.550003,80.269997,67.489998,76.300003,67.673386,9107800
2016-08-01,75.809998,78.070000,72.139999,77.099998,68.382942,4715300
2016-09-01,77.089996,78.570000,71.650002,73.320000,65.030296,4270300
2016-10-01,73.160004,74.669998,59.330002,63.580002,56.616112,8624900
2016-11-01,63.810001,82.000000,61.709999,77.639999,69.136131,5810600
2016-12-01,77.940002,89.970001,77.779999,84.849998,75.556412,6381100
2017-01-01,85.360001,88.589996,79.790001,86.480003,77.317932,4314200
2017-02-01,87.070000,99.529999,85.449997,93.930000,83.978661,5601000
2017-03-01,95.080002,100.120003,90.910004,99.930000,89.695801,3914900
2017-04-01,100.010002,111.930000,96.419998,110.180000,98.896049,4859200
2017-05-01,110.389999,124.940002,109.919998,116.519997,104.586769,7180600
2017-06-01,117.269997,128.250000,115.959999,117.750000,106.020111,5155200
2017-07-01,118.290001,118.470001,113.800003,116.849998,105.209770,3981900
2017-08-01,117.849998,121.610001,107.580002,116.360001,104.768562,4314000
2017-09-01,116.849998,125.900002,109.000000,124.529999,112.124687,6288500
2017-10-01,124.040001,133.119995,122.070000,131.619995,118.879601,5374900
2017-11-01,132.059998,143.529999,130.429993,134.250000,121.255020,4877700
2017-12-01,134.419998,137.970001,128.710007,135.210007,122.122063,3626500
2018-01-01,135.759995,154.139999,132.259995,152.330002,138.002213,4089100
2018-02-01,151.679993,151.759995,133.919998,140.500000,127.284943,3246300
2018-03-01,140.100006,150.000000,132.580002,133.199997,121.020988,4089800
2018-04-01,133.169998,138.460007,120.099998,122.610001,111.399254,6408700
2018-05-01,123.180000,125.580002,115.110001,120.239998,109.245934,12737500
2018-06-01,121.070000,124.489998,107.169998,112.959999,102.978966,7334000
2018-07-01,113.169998,122.589996,113.150002,119.110001,108.585541,6452000
2018-08-01,119.199997,126.839996,113.849998,119.000000,108.485291,13498200
2018-09-01,118.449997,119.779999,107.639999,111.750000,101.875877,11767100
2018-10-01,112.120003,112.750000,83.400002,88.489998,80.949997,15483500
2018-11-01,89.080002,98.279999,72.099998,81.199997,74.281136,16746000
2018-12-01,83.360001,85.639999,60.680000,70.510002,64.502022,12823500
2019-01-01,69.430000,89.019997,66.940002,88.540001,81.515305,10743200
2019-02-01,88.660004,103.570000,87.870003,97.339996,89.617104,8698500
2019-03-01,98.510002,102.349998,91.349998,93.500000,86.485252,9525600
2019-04-01,94.519997,108.739998,93.550003,105.629997,97.705200,6888200
2019-05-01,106.820000,107.900002,89.580002,89.900002,83.155334,6784800
2019-06-01,89.550003,101.040001,87.910004,96.400002,89.584389,7702000
2019-07-01,99.300003,103.500000,95.300003,102.230003,95.002197,5638800
2019-08-01,102.230003,105.660004,82.430000,98.589996,91.619553,10373700
2019-09-01,97.480003,113.080002,95.349998,103.610001,96.284645,7766400
2019-10-01,104.330002,112.059998,99.010002,109.930000,102.578690,6757200
2019-11-01,110.570000,126.400002,110.070000,122.839996,114.625381,5839900
2019-12-01,122.349998,131.270004,119.120003,128.759995,120.149475,6276500
2020-01-01,129.630005,129.839996,117.339996,120.239998,112.672333,4826700
2020-02-01,121.379997,129.339996,92.000000,96.779999,90.688835,7072900
2020-03-01,98.080002,103.820000,30.100000,55.580002,52.356346,20751300
2020-04-01,52.459999,88.690002,45.630001,83.000000,78.185974,15304400
2020-05-01,79.769997,99.639999,62.270000,89.830002,84.619827,10043200
2020-06-01,90.519997,107.000000,75.970001,82.209999,77.441772,10177200
2020-07-01,83.650002,95.769997,78.849998,84.660004,79.749695,8549000
2020-08-01,84.769997,101.040001,82.000000,94.669998,89.179100,6226800
2020-09-01,93.500000,101.760002,85.470001,90.809998,85.542992,8210400
2020-10-01,91.290001,103.790001,89.980003,96.599998,90.997162,5854500
2020-11-01,97.320000,157.669998,95.519997,127.330002,119.944817,6387600
2020-12-01,129.240005,142.300003,126.720001,137.220001,129.261185,6115600
2021-01-01,137.360001,146.820007,121.889999,122.760002,115.639877,7112900
2021-02-01,125.089996,176.110001,123.300003,169.710007,159.866776,11501200
2021-03-01,174.029999,190.970001,160.559998,174.179993,164.077484,11563800
2021-04-01,175.779999,183.350006,166.610001,177.630005,167.327438,7162100
2021-05-01,179.190002,180.000000,161.820007,172.289993,162.297119,8002400
2021-06-01,174.240005,175.789993,155.000000,159.300003,150.060532,14385400
2021-07-01,160.429993,162.679993,142.369995,147.369995,138.822479,8263700
2021-08-01,148.479996,155.399994,137.139999,149.550003,140.876068,6688200
2021-09-01,150.830002,169.440002,147.059998,157.330002,148.204834,7230300
2021-10-01,159.000000,166.699997,152.830002,157.220001,148.630478,5935500
2021-11-01,157.830002,174.039993,150.539993,152.649994,144.310120,5845800
2021-12-01,156.250000,172.000000,145.169998,168.979996,159.747955,8730500
2022-01-01,169.699997,174.740005,152.509995,162.380005,154.029022,6216800
2022-02-01,163.509995,173.440002,156.539993,160.669998,152.406967,6447700
2022-03-01,159.279999,162.009995,133.490005,157.699997,149.589706,8898000
2022-04-01,158.699997,163.339996,139.740005,149.330002,142.223465,7632400
2022-05-01,149.149994,151.850006,132.649994,147.720001,140.690094,9046400
2022-06-01,148.850006,153.410004,110.080002,116.199997,111.181915,11458700
2022-07-01,114.910004,137.350006,113.339996,136.919998,131.007126,8335500
2022-08-01,138.050003,153.820007,136.130005,142.419998,136.269608,8453300
2022-09-01,140.550003,148.779999,119.919998,121.860001,116.597504,9262300
2022-10-01,123.199997,150.729996,119.540001,147.759995,142.001999,7236200
2022-11-01,151.000000,151.000000,132.910004,148.979996,143.174469,7160700
2022-12-01,149.679993,151.669998,128.610001,134.589996,129.345230,9993900
2023-01-01,136.089996,160.080002,132.179993,160.039993,154.630310,7881400
2023-02-01,159.479996,165.850006,147.910004,152.990005,147.818604,8075300
2023-03-01,152.940002,157.250000,126.050003,134.860001,130.301437,8404400
2023-04-01,134.649994,140.309998,129.270004,134.559998,130.626328,5798100
2023-05-01,134.679993,138.210007,121.300003,123.220001,119.617851,8978900
2023-06-01,123.419998,134.089996,117.849998,122.720001,119.818390,7302100
2023-07-01,122.180000,133.990005,119.830002,128.509995,125.471481,7719700
2023-08-01,127.080002,127.849998,107.580002,108.690002,106.120125,10847600
2023-09-01,109.180000,111.190002,95.459999,100.629997,98.250687,10574900
2023-10-01,100.610001,101.089996,86.680000,89.860001,88.365517,13210800
2023-11-01,89.599998,89.599998,72.800003,72.900002,71.687584,16371600
2023-12-01,73.050003,91.639999,72.779999,84.889999,83.478172,15745800
2024-01-01,85.849998,88.940002,81.250000,83.889999,83.214043,10769700
2024-02-01,84.459999,96.620003,81.480003,93.190002,92.439110,10705600
2024-03-01,93.910004,102.660004,91.040001,98.889999,98.889999,9038200
