Date,Open,High,Low,Close,Adj Close,Volume
1972-09-01,0.020915,0.021077,0.018229,0.018962,0.010360,50995200
1972-10-01,0.019124,0.020996,0.018799,0.020996,0.011472,127948800
1972-11-01,0.021240,0.022786,0.020915,0.020996,0.011472,72806400
1972-12-01,0.021077,0.022705,0.020996,0.022461,0.012272,97075200
1973-01-01,0.022542,0.022705,0.019287,0.019287,0.010538,77414400
1973-02-01,0.019450,0.021322,0.019368,0.020182,0.011027,139008000
1973-03-01,0.020020,0.020020,0.013997,0.014811,0.008092,164812800
1973-04-01,0.014811,0.015137,0.013753,0.014567,0.007959,54067200
1973-05-01,0.014486,0.014730,0.013428,0.014323,0.007826,56217600
1973-06-01,0.014323,0.014323,0.009603,0.009847,0.005380,262963200
1973-07-01,0.009847,0.017171,0.009603,0.015625,0.008537,68812800
1973-08-01,0.015625,0.015625,0.012695,0.013753,0.007514,49612800
1973-09-01,0.013916,0.014974,0.012614,0.014648,0.008003,66201600
1973-10-01,0.014567,0.015625,0.014323,0.015299,0.008359,39782400
1973-11-01,0.015055,0.015055,0.009115,0.010091,0.005513,123187200
1973-12-01,0.010010,0.010010,0.008138,0.008708,0.004758,118579200
1974-01-01,0.008870,0.012370,0.008870,0.012370,0.006759,38400000
1974-02-01,0.012207,0.012207,0.009440,0.010905,0.005958,70348800
1974-03-01,0.010173,0.011068,0.009928,0.010173,0.005558,38246400
1974-04-01,0.010173,0.010742,0.010173,0.010254,0.005619,21811200
1974-05-01,0.010254,0.011475,0.009766,0.011068,0.006066,43776000
1974-06-01,0.011068,0.013184,0.011068,0.012695,0.006957,117811200
1974-07-01,0.012614,0.013346,0.012451,0.012695,0.006957,30566400
1974-08-01,0.012695,0.012777,0.009603,0.010742,0.005887,30412800
1974-09-01,0.010742,0.010905,0.009196,0.009196,0.005040,23040000
1974-10-01,0.009115,0.009115,0.007161,0.008057,0.004429,40089600
1974-11-01,0.008219,0.008382,0.006429,0.006510,0.003579,345292800
1974-12-01,0.006510,0.006917,0.004801,0.006185,0.003400,70502400
