Date,Open,High,Low,Close,Adj Close,Volume
1985-03-01,0.000000,0.703125,0.546875,0.625000,0.409396,1128320
1985-04-01,0.000000,0.703125,0.546875,0.625000,0.409396,1067360
1985-05-01,0.000000,0.703125,0.546875,0.625000,0.409396,1306240
1985-06-01,0.000000,0.703125,0.546875,0.625000,0.409396,933120
1985-07-01,0.000000,0.781250,0.546875,0.781250,0.511745,1086240
1985-08-01,0.000000,1.015625,0.703125,0.859375,0.562919,2789760
1985-09-01,0.000000,0.937500,0.781250,0.937500,0.614094,3673920
1985-10-01,0.000000,0.937500,0.781250,0.781250,0.511745,4266560
1985-11-01,0.000000,0.859375,0.703125,0.781250,0.511745,2930560
1985-12-01,0.000000,0.843750,0.625000,0.843750,0.552684,2189760
1986-01-01,0.828125,0.953125,0.781250,0.906250,0.593624,10813600
1986-02-01,0.906250,0.906250,0.781250,0.828125,0.542450,3053600
1986-03-01,0.828125,0.937500,0.812500,0.890625,0.583389,10620800
1986-04-01,0.890625,1.250000,0.859375,1.234375,0.808556,16780000
1986-05-01,1.234375,1.250000,1.156250,1.234375,0.808556,6839200
1986-06-01,1.234375,1.343750,1.218750,1.281250,0.839262,8687200
1986-07-01,1.281250,1.375000,1.250000,1.359375,0.890436,5600000
1986-08-01,1.359375,1.718750,1.343750,1.640625,1.074664,15231200
1986-09-01,1.640625,1.843750,1.640625,1.750000,1.146308,21060800
1986-10-01,1.750000,2.093750,1.718750,1.750000,1.146308,15657600
1986-11-01,1.750000,1.953125,1.656250,1.750000,1.146308,9832800
1986-12-01,1.750000,1.937500,1.703125,1.890625,1.238422,10471200
1987-01-01,1.890625,2.531250,1.890625,2.468750,1.617113,16799200
1987-02-01,2.484375,3.031250,2.484375,3.000000,1.965101,16910400
1987-03-01,3.046875,4.234375,3.046875,4.078125,2.671307,17047200
1987-04-01,4.078125,4.218750,3.593750,3.953125,2.589429,30837600
1987-05-01,3.921875,5.390625,3.890625,4.593750,3.009059,18875200
1987-06-01,4.546875,4.765625,3.781250,4.312500,2.824831,14556000
